Reporting_Airline,delay_rate,n
MQ,50.0,8
OO,38.46153846153847,26
NK,37.5,24
F9,31.25,16
UA,28.57142857142857,21
AA,28.26086956521739,46
AS,25.0,4
EV,19.694072657743785,523
WN,18.13031161473088,353
US,11.76470588235294,51
DL,11.556728232189974,1895
