Year,Month,FlightDate,Reporting_Airline,Origin,OriginCityName,Dest,DestCityName,DepDelay,ArrDelay,Cancelled,Diverted,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2015,1,2015-01-21,DL,MSP,"Minneapolis, MN",ATL,"Atlanta, GA",-5.0,-12.0,0.0,0.0,907.0,,,,,
2015,1,2015-01-03,DL,ATL,"Atlanta, GA",EYW,"Key West, FL",-1.0,-13.0,0.0,0.0,646.0,,,,,
2015,1,2015-01-08,EV,HPN,"White Plains, NY",ATL,"Atlanta, GA",-5.0,-20.0,0.0,0.0,780.0,,,,,
2015,1,2015-01-18,DL,MCO,"Orlando, FL",ATL,"Atlanta, GA",-1.0,-17.0,0.0,0.0,404.0,,,,,
2015,1,2015-01-05,DL,ATL,"Atlanta, GA",DTW,"Detroit, MI",9.0,7.0,0.0,0.0,594.0,,,,,
2015,1,2015-01-12,DL,ATL,"Atlanta, GA",DAY,"Dayton, OH",12.0,3.0,0.0,0.0,432.0,,,,,
2015,1,2015-01-29,EV,ATL,"Atlanta, GA",VLD,"Valdosta, GA",-4.0,-9.0,0.0,0.0,208.0,,,,,
2015,1,2015-01-21,EV,OAJ,"Jacksonville/Camp Lejeune, NC",ATL,"Atlanta, GA",-8.0,-9.0,0.0,0.0,399.0,,,,,
2015,1,2015-01-09,DL,PBI,"West Palm Beach/Palm Beach, FL",ATL,"Atlanta, GA",4.0,-7.0,0.0,0.0,545.0,,,,,
2015,1,2015-01-13,DL,ATL,"Atlanta, GA",FLL,"Fort Lauderdale, FL",1.0,-8.0,0.0,0.0,581.0,,,,,
2015,1,2015-01-01,NK,FLL,"Fort Lauderdale, FL",ATL,"Atlanta, GA",-1.0,9.0,0.0,0.0,581.0,,,,,
2015,1,2015-01-10,DL,RDU,"Raleigh/Durham, NC",ATL,"Atlanta, GA",-1.0,-31.0,0.0,0.0,356.0,,,,,
2015,1,2015-01-07,DL,DTW,"Detroit, MI",ATL,"Atlanta, GA",-1.0,-33.0,0.0,0.0,594.0,,,,,
2015,1,2015-01-17,WN,MDW,"Chicago, IL",ATL,"Atlanta, GA",-4.0,-11.0,0.0,0.0,591.0,,,,,
2015,1,2015-01-12,DL,ATL,"Atlanta, GA",IAH,"Houston, TX",95.0,109.0,0.0,0.0,689.0,0.0,16.0,14.0,0.0,79.0
2015,1,2015-01-03,EV,ATL,"Atlanta, GA",LNK,"Lincoln, NE",21.0,3.0,0.0,0.0,841.0,,,,,
2015,1,2015-01-07,DL,IND,"Indianapolis, IN",ATL,"Atlanta, GA",3.0,-18.0,0.0,0.0,432.0,,,,,
2015,1,2015-01-04,DL,FLL,"Fort Lauderdale, FL",ATL,"Atlanta, GA",24.0,6.0,0.0,0.0,581.0,,,,,
2015,1,2015-01-22,US,ATL,"Atlanta, GA",PHX,"Phoenix, AZ",-8.0,-19.0,0.0,0.0,1587.0,,,,,
2015,1,2015-01-12,WN,ATL,"Atlanta, GA",HOU,"Houston, TX",61.0,47.0,0.0,0.0,696.0,44.0,0.0,0.0,0.0,3.0
2015,1,2015-01-05,DL,ATL,"Atlanta, GA",PNS,"Pensacola, FL",0.0,4.0,0.0,0.0,271.0,,,,,
2015,1,2015-01-29,DL,JFK,"New York, NY",ATL,"Atlanta, GA",11.0,-2.0,0.0,0.0,760.0,,,,,
2015,1,2015-01-12,EV,TRI,"Bristol/Johnson City/Kingsport, TN",ATL,"Atlanta, GA",101.0,104.0,0.0,0.0,227.0,1.0,0.0,3.0,0.0,100.0
2015,1,2015-01-08,DL,CMH,"Columbus, OH",ATL,"Atlanta, GA",11.0,20.0,0.0,0.0,447.0,3.0,0.0,9.0,0.0,8.0
2015,1,2015-01-12,WN,MCO,"Orlando, FL",ATL,"Atlanta, GA",7.0,-4.0,0.0,0.0,404.0,,,,,
2015,1,2015-01-10,EV,SGF,"Springfield, MO",ATL,"Atlanta, GA",-5.0,-14.0,0.0,0.0,563.0,,,,,
2015,1,2015-01-01,EV,ATL,"Atlanta, GA",SHV,"Shreveport, LA",-4.0,-21.0,0.0,0.0,551.0,,,,,
2015,1,2015-01-03,EV,SGF,"Springfield, MO",ATL,"Atlanta, GA",-1.0,-1.0,0.0,0.0,563.0,,,,,
2015,1,2015-01-02,WN,ATL,"Atlanta, GA",MDW,"Chicago, IL",35.0,23.0,0.0,0.0,591.0,11.0,0.0,0.0,0.0,12.0
2015,1,2015-01-24,DL,ATL,"Atlanta, GA",DTW,"Detroit, MI",-2.0,-11.0,0.0,0.0,594.0,,,,,
2015,1,2015-01-05,DL,ATL,"Atlanta, GA",MCI,"Kansas City, MO",-3.0,-10.0,0.0,0.0,692.0,,,,,
2015,1,2015-01-22,WN,DCA,"Washington, DC",ATL,"Atlanta, GA",-6.0,-32.0,0.0,0.0,547.0,,,,,
2015,1,2015-01-14,DL,MYR,"Myrtle Beach, SC",ATL,"Atlanta, GA",2.0,-7.0,0.0,0.0,317.0,,,,,
2015,1,2015-01-08,DL,ATL,"Atlanta, GA",IND,"Indianapolis, IN",81.0,74.0,0.0,0.0,432.0,74.0,0.0,0.0,0.0,0.0
2015,1,2015-01-22,DL,DAL,"Dallas, TX",ATL,"Atlanta, GA",-3.0,-2.0,0.0,0.0,721.0,,,,,
2015,1,2015-01-05,DL,ATL,"Atlanta, GA",MCO,"Orlando, FL",-3.0,-3.0,0.0,0.0,404.0,,,,,
2015,1,2015-01-14,DL,ATL,"Atlanta, GA",FNT,"Flint, MI",-4.0,-6.0,0.0,0.0,645.0,,,,,
2015,1,2015-01-30,EV,AEX,"Alexandria, LA",ATL,"Atlanta, GA",-11.0,-20.0,0.0,0.0,500.0,,,,,
2015,1,2015-01-18,DL,CAK,"Akron, OH",ATL,"Atlanta, GA",-3.0,-24.0,0.0,0.0,528.0,,,,,
2015,1,2015-01-09,DL,ATL,"Atlanta, GA",PNS,"Pensacola, FL",87.0,74.0,0.0,0.0,271.0,1.0,0.0,0.0,0.0,73.0
2015,1,2015-01-23,DL,ATL,"Atlanta, GA",SDF,"Louisville, KY",-1.0,-13.0,0.0,0.0,321.0,,,,,
2015,1,2015-01-04,WN,ATL,"Atlanta, GA",DTW,"Detroit, MI",7.0,-2.0,0.0,0.0,594.0,,,,,
2015,1,2015-01-28,US,PHX,"Phoenix, AZ",ATL,"Atlanta, GA",-1.0,-11.0,0.0,0.0,1587.0,,,,,
2015,1,2015-01-22,DL,ATL,"Atlanta, GA",BOS,"Boston, MA",6.0,-16.0,0.0,0.0,946.0,,,,,
2015,1,2015-01-27,DL,FLL,"Fort Lauderdale, FL",ATL,"Atlanta, GA",-3.0,13.0,0.0,0.0,581.0,,,,,
2015,1,2015-01-03,EV,ATL,"Atlanta, GA",CLE,"Cleveland, OH",-3.0,2.0,0.0,0.0,554.0,,,,,
2015,1,2015-01-01,DL,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",-2.0,-3.0,0.0,0.0,373.0,,,,,
2015,1,2015-01-15,DL,ATL,"Atlanta, GA",GRR,"Grand Rapids, MI",-2.0,-12.0,0.0,0.0,640.0,,,,,
2015,1,2015-01-19,DL,PIT,"Pittsburgh, PA",ATL,"Atlanta, GA",15.0,-15.0,0.0,0.0,526.0,,,,,
2015,1,2015-01-12,DL,ATL,"Atlanta, GA",TUS,"Tucson, AZ",3.0,-9.0,0.0,0.0,1541.0,,,,,
2015,1,2015-01-02,DL,ATL,"Atlanta, GA",PBI,"West Palm Beach/Palm Beach, FL",22.0,24.0,0.0,0.0,545.0,0.0,22.0,2.0,0.0,0.0
2015,1,2015-01-30,DL,ATL,"Atlanta, GA",HSV,"Huntsville, AL",-6.0,-11.0,0.0,0.0,151.0,,,,,
2015,1,2015-01-08,DL,AUS,"Austin, TX",ATL,"Atlanta, GA",-3.0,-14.0,0.0,0.0,813.0,,,,,
2015,1,2015-01-11,DL,STT,"Charlotte Amalie, VI",ATL,"Atlanta, GA",-3.0,-11.0,0.0,0.0,1599.0,,,,,
2015,1,2015-01-19,WN,ATL,"Atlanta, GA",MCO,"Orlando, FL",-1.0,-10.0,0.0,0.0,404.0,,,,,
2015,1,2015-01-04,NK,ATL,"Atlanta, GA",FLL,"Fort Lauderdale, FL",1.0,4.0,0.0,0.0,581.0,,,,,
2015,1,2015-01-09,DL,BWI,"Baltimore, MD",ATL,"Atlanta, GA",-5.0,-8.0,0.0,0.0,577.0,,,,,
